Pair,Time_spot,Open,High,Low,Close,Volume
ADAUSDT,2024-05-06 04:00:00,0.45660000,0.46690000,0.45580000,0.46670000,9764027.10000000
BTCUSDT,2024-05-06 04:00:00,63866.59000000,64588.00000000,63768.72000000,64540.75000000,4129.26675000
LTCUSDT,2024-05-06 04:00:00,80.84000000,84.20000000,80.71000000,83.33000000,157810.36900000
ETHUSDT,2024-05-06 00:00:00,3136.40000000,3165.97000000,3124.38000000,3134.61000000,26248.03820000
BNBUSDT,2024-05-06 00:00:00,592.00000000,595.50000000,589.50000000,591.00000000,24950.74100000
ADAUSDT,2024-05-06 00:00:00,0.45790000,0.46180000,0.45430000,0.45670000,10001988.80000000
BTCUSDT,2024-05-06 00:00:00,64012.00000000,64465.00000000,63708.58000000,63866.59000000,3162.30361000
LTCUSDT,2024-05-06 00:00:00,81.32000000,81.71000000,80.60000000,80.83000000,48897.46100000
XRPUSDT,2024-05-06 00:00:00,0.52950000,0.53340000,0.52840000,0.53170000,36757232.00000000
ETHUSDT,2024-05-05 20:00:00,3142.45000000,3146.66000000,3122.89000000,3136.41000000,17340.35390000
XRPUSDT,2024-05-05 20:00:00,0.53000000,0.53060000,0.52770000,0.52960000,12902102.00000000
BNBUSDT,2024-05-05 20:00:00,592.90000000,594.10000000,588.50000000,592.00000000,19676.81100000
ADAUSDT,2024-05-05 20:00:00,0.46070000,0.46140000,0.45630000,0.45800000,5904509.60000000
BTCUSDT,2024-05-05 20:00:00,63879.94000000,64227.51000000,63582.08000000,64012.00000000,1808.89697000
LTCUSDT,2024-05-05 20:00:00,81.27000000,81.67000000,81.14000000,81.32000000,38307.77700000
XRPUSDT,2024-05-05 16:00:00,0.53180000,0.53340000,0.52850000,0.53000000,15269261.00000000
ADAUSDT,2024-05-05 16:00:00,0.46360000,0.46610000,0.45670000,0.46080000,12291484.30000000
BTCUSDT,2024-05-05 16:00:00,64428.64000000,64554.68000000,63811.01000000,63879.94000000,2871.91182000
BNBUSDT,2024-05-05 16:00:00,593.10000000,595.00000000,590.30000000,592.90000000,30246.46600000
LTCUSDT,2024-05-05 16:00:00,81.53000000,81.74000000,80.90000000,81.28000000,73339.41200000
ETHUSDT,2024-05-05 16:00:00,3160.18000000,3166.34000000,3130.68000000,3142.45000000,25728.67210000
ETHUSDT,2024-05-05 12:00:00,3138.10000000,3168.00000000,3127.04000000,3160.19000000,36839.75560000
XRPUSDT,2024-05-05 12:00:00,0.52950000,0.53250000,0.52630000,0.53180000,27217123.00000000
BTCUSDT,2024-05-05 12:00:00,63859.63000000,64646.00000000,63618.91000000,64428.65000000,5405.83792000
LTCUSDT,2024-05-05 12:00:00,81.17000000,81.60000000,80.53000000,81.53000000,71910.56100000
ADAUSDT,2024-05-05 12:00:00,0.45840000,0.46450000,0.45480000,0.46360000,12561883.30000000
BNBUSDT,2024-05-05 12:00:00,586.60000000,594.50000000,584.70000000,593.10000000,42539.53700000
XRPUSDT,2024-05-05 08:00:00,0.52860000,0.53210000,0.52800000,0.52940000,16258249.00000000
BNBUSDT,2024-05-05 08:00:00,585.20000000,589.60000000,584.60000000,586.60000000,21563.85800000
BTCUSDT,2024-05-05 08:00:00,63736.86000000,63937.17000000,63539.53000000,63859.63000000,2431.33573000
ETHUSDT,2024-05-05 08:00:00,3105.70000000,3171.93000000,3103.52000000,3138.10000000,66727.89360000
LTCUSDT,2024-05-05 08:00:00,81.24000000,81.56000000,80.87000000,81.18000000,36554.52400000
ADAUSDT,2024-05-05 08:00:00,0.45840000,0.46200000,0.45630000,0.45850000,9648378.00000000
LTCUSDT,2024-05-05 04:00:00,81.12000000,81.46000000,80.75000000,81.23000000,40354.29900000
ETHUSDT,2024-05-05 04:00:00,3086.90000000,3114.80000000,3080.83000000,3105.70000000,21580.74720000
XRPUSDT,2024-05-05 04:00:00,0.52790000,0.53010000,0.52620000,0.52860000,12938140.00000000
BNBUSDT,2024-05-05 04:00:00,581.30000000,587.10000000,580.60000000,585.20000000,23340.35300000
ADAUSDT,2024-05-05 04:00:00,0.45490000,0.45960000,0.45360000,0.45840000,9296647.50000000
BTCUSDT,2024-05-05 04:00:00,63235.93000000,63959.00000000,63119.32000000,63736.87000000,1984.95667000
BTCUSDT,2024-05-05 00:00:00,63892.03000000,64188.00000000,62822.17000000,63235.93000000,4023.81118000
ADAUSDT,2024-05-05 00:00:00,0.46330000,0.46400000,0.45210000,0.45500000,16140529.80000000
ETHUSDT,2024-05-05 00:00:00,3117.24000000,3126.41000000,3072.99000000,3086.91000000,50542.84380000
BNBUSDT,2024-05-05 00:00:00,585.70000000,587.70000000,579.30000000,581.20000000,43091.21100000
LTCUSDT,2024-05-05 00:00:00,81.66000000,81.78000000,80.37000000,81.11000000,76182.93200000
XRPUSDT,2024-05-05 00:00:00,0.53020000,0.53080000,0.52400000,0.52790000,27759845.00000000
ADAUSDT,2024-05-04 20:00:00,0.46990000,0.47100000,0.46230000,0.46330000,11994740.10000000
BNBUSDT,2024-05-04 20:00:00,590.30000000,592.20000000,583.90000000,585.70000000,26729.63400000
XRPUSDT,2024-05-04 20:00:00,0.53370000,0.53520000,0.52870000,0.53020000,19673945.00000000
ETHUSDT,2024-05-04 20:00:00,3137.02000000,3147.00000000,3104.34000000,3117.23000000,23414.08260000
LTCUSDT,2024-05-04 20:00:00,82.31000000,82.57000000,81.56000000,81.66000000,38727.04200000
BTCUSDT,2024-05-04 20:00:00,63921.17000000,64240.76000000,63550.00000000,63892.04000000,2379.98805000
ADAUSDT,2024-05-04 16:00:00,0.46800000,0.47070000,0.46580000,0.46980000,6636410.30000000
BNBUSDT,2024-05-04 16:00:00,591.20000000,591.60000000,586.50000000,590.30000000,30751.75100000
ETHUSDT,2024-05-04 16:00:00,3126.80000000,3140.00000000,3114.08000000,3137.01000000,23546.53980000
XRPUSDT,2024-05-04 16:00:00,0.53600000,0.53600000,0.53160000,0.53360000,15708369.00000000
LTCUSDT,2024-05-04 16:00:00,82.35000000,82.48000000,81.79000000,82.32000000,39610.64200000
BTCUSDT,2024-05-04 16:00:00,63609.17000000,64019.83000000,63300.58000000,63921.18000000,3617.97274000
ADAUSDT,2024-05-04 12:00:00,0.46870000,0.47120000,0.46560000,0.46790000,13023942.80000000
ETHUSDT,2024-05-04 12:00:00,3130.45000000,3158.95000000,3115.08000000,3126.81000000,37368.81470000
LTCUSDT,2024-05-04 12:00:00,82.30000000,82.77000000,81.42000000,82.35000000,71492.68200000
BTCUSDT,2024-05-04 12:00:00,63873.30000000,64158.19000000,63434.53000000,63609.17000000,3811.93368000
BNBUSDT,2024-05-04 12:00:00,589.30000000,593.50000000,588.10000000,591.10000000,32670.80400000
XRPUSDT,2024-05-04 12:00:00,0.53440000,0.54100000,0.53380000,0.53590000,41175298.00000000
ETHUSDT,2024-05-04 08:00:00,3095.94000000,3168.00000000,3095.68000000,3130.45000000,55073.47210000
BNBUSDT,2024-05-04 08:00:00,584.10000000,593.60000000,583.50000000,589.40000000,45308.49800000
BTCUSDT,2024-05-04 08:00:00,62959.03000000,64540.00000000,62924.37000000,63873.31000000,6546.74516000
XRPUSDT,2024-05-04 08:00:00,0.52790000,0.53740000,0.52780000,0.53440000,34985836.00000000
LTCUSDT,2024-05-04 08:00:00,81.63000000,83.01000000,81.58000000,82.29000000,72303.02500000
ADAUSDT,2024-05-04 08:00:00,0.46510000,0.47590000,0.46500000,0.46870000,15645036.60000000
BTCUSDT,2024-05-04 04:00:00,62724.00000000,63450.00000000,62686.00000000,62959.03000000,3268.58824000
ETHUSDT,2024-05-04 04:00:00,3112.00000000,3123.06000000,3095.37000000,3095.94000000,25653.22280000
LTCUSDT,2024-05-04 04:00:00,82.00000000,82.19000000,81.61000000,81.63000000,35990.02900000
BNBUSDT,2024-05-04 04:00:00,584.20000000,587.30000000,582.70000000,584.00000000,25322.20900000
ADAUSDT,2024-05-04 04:00:00,0.46680000,0.46880000,0.46490000,0.46510000,5930506.20000000
XRPUSDT,2024-05-04 04:00:00,0.52950000,0.53120000,0.52760000,0.52790000,19663353.00000000
XRPUSDT,2024-05-04 00:00:00,0.53170000,0.53290000,0.52720000,0.52960000,27487420.00000000
ETHUSDT,2024-05-04 00:00:00,3102.61000000,3130.85000000,3092.85000000,3112.00000000,31207.81680000
BTCUSDT,2024-05-04 00:00:00,62882.01000000,63595.14000000,62541.03000000,62724.00000000,4743.46495000
BNBUSDT,2024-05-04 00:00:00,587.00000000,589.50000000,582.50000000,584.20000000,36346.35500000
ADAUSDT,2024-05-04 00:00:00,0.46740000,0.47130000,0.46470000,0.46680000,8528056.40000000
LTCUSDT,2024-05-04 00:00:00,81.86000000,82.49000000,81.57000000,81.99000000,36578.37600000
BTCUSDT,2024-05-03 20:00:00,62067.32000000,63333.00000000,61974.00000000,62882.01000000,7183.06591000
BNBUSDT,2024-05-03 20:00:00,580.90000000,590.00000000,580.70000000,587.00000000,49907.53100000
ETHUSDT,2024-05-03 20:00:00,3072.51000000,3126.99000000,3068.59000000,3102.61000000,52126.27500000
ADAUSDT,2024-05-03 20:00:00,0.46600000,0.47360000,0.46570000,0.46730000,16424686.30000000
LTCUSDT,2024-05-03 20:00:00,81.66000000,82.62000000,81.54000000,81.85000000,66394.53800000
XRPUSDT,2024-05-03 20:00:00,0.53060000,0.53670000,0.52950000,0.53170000,43251785.00000000
BNBUSDT,2024-05-03 16:00:00,578.00000000,581.80000000,577.70000000,580.90000000,36079.29800000
BTCUSDT,2024-05-03 16:00:00,61690.74000000,62179.99000000,61533.20000000,62067.32000000,4594.31487000
LTCUSDT,2024-05-03 16:00:00,81.92000000,82.12000000,81.38000000,81.67000000,64993.26600000
ADAUSDT,2024-05-03 16:00:00,0.46710000,0.46900000,0.46310000,0.46620000,10706067.60000000
ETHUSDT,2024-05-03 16:00:00,3075.52000000,3087.99000000,3062.61000000,3072.50000000,38249.10830000
XRPUSDT,2024-05-03 16:00:00,0.52670000,0.53120000,0.52510000,0.53070000,34605771.00000000
BTCUSDT,2024-05-03 12:00:00,59291.10000000,62115.64000000,58991.99000000,61690.74000000,19191.72512000
LTCUSDT,2024-05-03 12:00:00,79.94000000,82.13000000,79.85000000,81.91000000,132473.00300000
ETHUSDT,2024-05-03 12:00:00,2979.49000000,3086.00000000,2969.75000000,3075.52000000,152439.93240000
XRPUSDT,2024-05-03 12:00:00,0.51630000,0.52770000,0.51540000,0.52670000,80829412.00000000
BNBUSDT,2024-05-03 12:00:00,562.80000000,579.90000000,561.20000000,577.90000000,125199.16100000
ADAUSDT,2024-05-03 12:00:00,0.44810000,0.46780000,0.44710000,0.46700000,26986018.90000000
LTCUSDT,2024-05-03 08:00:00,79.54000000,80.11000000,79.33000000,79.94000000,55828.48500000
ETHUSDT,2024-05-03 08:00:00,2969.00000000,2990.62000000,2958.32000000,2979.50000000,34574.52440000
BNBUSDT,2024-05-03 08:00:00,561.30000000,568.40000000,560.50000000,562.80000000,60901.33600000
ADAUSDT,2024-05-03 08:00:00,0.45120000,0.45310000,0.44620000,0.44810000,11429808.20000000
BTCUSDT,2024-05-03 08:00:00,59190.74000000,59575.48000000,58849.94000000,59291.09000000,3640.85276000
XRPUSDT,2024-05-03 08:00:00,0.51840000,0.52670000,0.51450000,0.51640000,86275135.00000000
XRPUSDT,2024-05-03 04:00:00,0.52220000,0.52260000,0.51720000,0.51840000,70023741.00000000
ADAUSDT,2024-05-03 04:00:00,0.46060000,0.46120000,0.44890000,0.45110000,22686378.70000000
ETHUSDT,2024-05-03 04:00:00,3010.14000000,3017.20000000,2958.71000000,2969.00000000,37416.01980000
BTCUSDT,2024-05-03 04:00:00,59720.30000000,59844.94000000,59061.63000000,59190.74000000,3909.03360000
LTCUSDT,2024-05-03 04:00:00,80.72000000,80.76000000,79.43000000,79.54000000,47099.94800000
BNBUSDT,2024-05-03 04:00:00,566.20000000,567.30000000,560.00000000,561.30000000,26352.51400000
BTCUSDT,2024-05-03 00:00:00,59060.60000000,59999.00000000,58811.32000000,59720.30000000,5109.40917000
ETHUSDT,2024-05-03 00:00:00,2986.19000000,3036.17000000,2977.70000000,3010.15000000,41019.97920000
XRPUSDT,2024-05-03 00:00:00,0.51800000,0.52300000,0.51570000,0.52220000,48641004.00000000
ADAUSDT,2024-05-03 00:00:00,0.45770000,0.46300000,0.45630000,0.46060000,8945157.10000000
BNBUSDT,2024-05-03 00:00:00,560.50000000,567.20000000,558.90000000,566.20000000,44466.59300000
LTCUSDT,2024-05-03 00:00:00,80.03000000,81.04000000,79.95000000,80.71000000,59306.80800000
LTCUSDT,2024-05-02 20:00:00,80.74000000,80.84000000,79.99000000,80.02000000,72088.40400000
ETHUSDT,2024-05-02 20:00:00,2999.80000000,3016.72000000,2968.84000000,2986.19000000,40659.35060000
BTCUSDT,2024-05-02 20:00:00,59351.10000000,59625.00000000,58637.62000000,59060.61000000,4866.76918000
ADAUSDT,2024-05-02 20:00:00,0.45580000,0.46020000,0.45250000,0.45780000,11376939.10000000
BNBUSDT,2024-05-02 20:00:00,563.40000000,564.60000000,558.30000000,560.50000000,33790.46200000
XRPUSDT,2024-05-02 20:00:00,0.52310000,0.52450000,0.51770000,0.51800000,29030926.00000000
BTCUSDT,2024-05-02 16:00:00,59264.16000000,59575.29000000,58943.38000000,59351.11000000,5176.24271000
ETHUSDT,2024-05-02 16:00:00,2990.16000000,3006.00000000,2972.00000000,2999.81000000,43031.16900000
XRPUSDT,2024-05-02 16:00:00,0.51990000,0.52400000,0.51820000,0.52310000,41587994.00000000
BNBUSDT,2024-05-02 16:00:00,564.60000000,565.20000000,560.80000000,563.50000000,31458.78900000
ADAUSDT,2024-05-02 16:00:00,0.45760000,0.45810000,0.45200000,0.45590000,11131958.60000000
LTCUSDT,2024-05-02 16:00:00,80.60000000,81.28000000,80.18000000,80.75000000,61780.67400000
XRPUSDT,2024-05-02 12:00:00,0.51750000,0.52250000,0.51280000,0.51990000,62098304.00000000
BTCUSDT,2024-05-02 12:00:00,58559.66000000,59455.00000000,58222.00000000,59264.15000000,15027.94977000
LTCUSDT,2024-05-02 12:00:00,80.35000000,80.84000000,79.45000000,80.60000000,101286.89500000
ETHUSDT,2024-05-02 12:00:00,2995.54000000,3013.00000000,2952.40000000,2990.17000000,88940.48400000
BNBUSDT,2024-05-02 12:00:00,561.60000000,565.90000000,555.90000000,564.50000000,87311.95100000
ADAUSDT,2024-05-02 12:00:00,0.45310000,0.46250000,0.45060000,0.45760000,28308962.50000000
ETHUSDT,2024-05-02 08:00:00,2921.22000000,3002.51000000,2916.73000000,2995.55000000,79087.69420000
XRPUSDT,2024-05-02 08:00:00,0.51360000,0.51850000,0.51100000,0.51750000,68133045.00000000
BTCUSDT,2024-05-02 08:00:00,57681.08000000,58689.55000000,57561.14000000,58559.66000000,7270.28163000
BNBUSDT,2024-05-02 08:00:00,549.70000000,561.90000000,549.00000000,561.60000000,66947.84600000
ADAUSDT,2024-05-02 08:00:00,0.44460000,0.45610000,0.44400000,0.45310000,19130278.10000000
LTCUSDT,2024-05-02 08:00:00,78.87000000,80.80000000,78.66000000,80.36000000,67033.76600000
XRPUSDT,2024-05-02 04:00:00,0.51080000,0.51480000,0.50670000,0.51360000,62926694.00000000
LTCUSDT,2024-05-02 04:00:00,79.77000000,79.88000000,78.85000000,78.87000000,39386.16800000
BNBUSDT,2024-05-02 04:00:00,547.50000000,550.50000000,544.40000000,549.80000000,41675.10300000
ETHUSDT,2024-05-02 04:00:00,2929.34000000,2938.00000000,2898.20000000,2921.22000000,39776.18020000
BTCUSDT,2024-05-02 04:00:00,57442.88000000,57945.19000000,57202.49000000,57681.08000000,4030.55930000
ADAUSDT,2024-05-02 04:00:00,0.44560000,0.44790000,0.44110000,0.44460000,9143182.50000000
BTCUSDT,2024-05-02 00:00:00,58364.97000000,58610.55000000,56911.84000000,57442.88000000,11212.01702000
LTCUSDT,2024-05-02 00:00:00,80.17000000,80.43000000,78.79000000,79.77000000,57303.48900000
ADAUSDT,2024-05-02 00:00:00,0.45010000,0.45130000,0.43860000,0.44550000,14480897.60000000
XRPUSDT,2024-05-02 00:00:00,0.51750000,0.52000000,0.50770000,0.51080000,80825693.00000000
ETHUSDT,2024-05-02 00:00:00,2972.46000000,2982.18000000,2893.26000000,2929.33000000,74444.84110000
BNBUSDT,2024-05-02 00:00:00,561.80000000,563.00000000,539.50000000,547.50000000,98610.16400000
XRPUSDT,2024-05-01 20:00:00,0.51060000,0.51920000,0.50750000,0.51750000,42992738.00000000
BTCUSDT,2024-05-01 20:00:00,56954.46000000,58575.32000000,56760.02000000,58364.97000000,8097.23648000
ETHUSDT,2024-05-01 20:00:00,2926.05000000,2984.89000000,2914.42000000,2972.46000000,53008.32450000
LTCUSDT,2024-05-01 20:00:00,78.64000000,80.27000000,78.35000000,80.17000000,66110.45500000
ADAUSDT,2024-05-01 20:00:00,0.44180000,0.45250000,0.43830000,0.45010000,16275028.30000000
BNBUSDT,2024-05-01 20:00:00,550.30000000,563.80000000,550.30000000,561.80000000,54438.24800000
LTCUSDT,2024-05-01 16:00:00,77.22000000,80.89000000,76.96000000,78.65000000,148469.33900000
BTCUSDT,2024-05-01 16:00:00,56886.00000000,59468.00000000,56625.09000000,56954.47000000,20507.82488000
BNBUSDT,2024-05-01 16:00:00,545.10000000,566.40000000,542.90000000,550.20000000,131808.26200000
XRPUSDT,2024-05-01 16:00:00,0.49900000,0.52140000,0.49790000,0.51060000,98527207.00000000
ETHUSDT,2024-05-01 16:00:00,2885.46000000,3015.73000000,2868.72000000,2926.06000000,172442.96360000
ADAUSDT,2024-05-01 16:00:00,0.43530000,0.45790000,0.42900000,0.44170000,38368247.70000000
LTCUSDT,2024-05-01 12:00:00,77.35000000,77.84000000,76.52000000,77.22000000,93437.58400000
ETHUSDT,2024-05-01 12:00:00,2905.40000000,2934.00000000,2865.91000000,2885.45000000,76042.93890000
ADAUSDT,2024-05-01 12:00:00,0.43480000,0.44330000,0.43230000,0.43530000,24061320.50000000
XRPUSDT,2024-05-01 12:00:00,0.49410000,0.49950000,0.49240000,0.49890000,55381276.00000000
BTCUSDT,2024-05-01 12:00:00,57898.46000000,58275.87000000,56674.51000000,56886.00000000,11686.74779000
BNBUSDT,2024-05-01 12:00:00,552.00000000,556.30000000,544.00000000,545.00000000,75152.96800000
ADAUSDT,2024-05-01 08:00:00,0.42780000,0.43500000,0.41840000,0.43500000,33515540.30000000
LTCUSDT,2024-05-01 08:00:00,76.33000000,77.36000000,74.60000000,77.36000000,178356.49300000
ETHUSDT,2024-05-01 08:00:00,2869.70000000,2906.27000000,2817.00000000,2905.39000000,143421.01540000
XRPUSDT,2024-05-01 08:00:00,0.49080000,0.49550000,0.47820000,0.49420000,107255675.00000000
BTCUSDT,2024-05-01 08:00:00,57500.00000000,57909.00000000,56552.82000000,57898.47000000,18606.56140000
BNBUSDT,2024-05-01 08:00:00,546.10000000,552.30000000,536.70000000,551.90000000,137275.12500000
BTCUSDT,2024-05-01 04:00:00,60246.02000000,60361.09000000,57100.00000000,57499.99000000,15737.62045000
ETHUSDT,2024-05-01 04:00:00,3004.37000000,3013.87000000,2859.00000000,2869.71000000,123926.19650000
ADAUSDT,2024-05-01 04:00:00,0.44070000,0.44460000,0.42320000,0.42770000,35951392.70000000
BNBUSDT,2024-05-01 04:00:00,574.90000000,575.70000000,543.90000000,546.10000000,188053.52100000
XRPUSDT,2024-05-01 04:00:00,0.50340000,0.50460000,0.48510000,0.49080000,125578868.00000000
LTCUSDT,2024-05-01 04:00:00,79.52000000,80.00000000,75.88000000,76.32000000,167253.77300000
BTCUSDT,2024-05-01 00:00:00,60672.01000000,60841.63000000,59590.00000000,60246.03000000,6530.47723000
XRPUSDT,2024-05-01 00:00:00,0.50060000,0.50400000,0.49590000,0.50350000,48785413.00000000
ADAUSDT,2024-05-01 00:00:00,0.44120000,0.44360000,0.43450000,0.44060000,15630885.20000000
BNBUSDT,2024-05-01 00:00:00,578.40000000,580.40000000,567.50000000,574.80000000,82299.19400000
ETHUSDT,2024-05-01 00:00:00,3014.04000000,3023.24000000,2960.03000000,3004.37000000,56122.33840000
LTCUSDT,2024-05-01 00:00:00,79.48000000,79.90000000,78.46000000,79.52000000,60182.85100000
BTCUSDT,2024-04-30 20:00:00,59292.95000000,61070.71000000,59274.75000000,60672.00000000,7434.45352000
ETHUSDT,2024-04-30 20:00:00,2928.96000000,3029.40000000,2928.00000000,3014.05000000,65849.79530000
LTCUSDT,2024-04-30 20:00:00,78.10000000,80.03000000,78.10000000,79.49000000,66689.51400000
BNBUSDT,2024-04-30 20:00:00,567.20000000,581.70000000,567.10000000,578.40000000,72967.44000000
ADAUSDT,2024-04-30 20:00:00,0.43310000,0.44470000,0.43310000,0.44120000,15589270.60000000
XRPUSDT,2024-04-30 20:00:00,0.49610000,0.50230000,0.49610000,0.50060000,40926627.00000000
LTCUSDT,2024-04-30 16:00:00,78.77000000,79.08000000,77.19000000,78.09000000,138045.89900000
